省市,2015年互联网普及率%,2016年互联网普及率%,2017年互联网普及率%,2018年互联网普及率%,
北京,76.5,77.8,78,80,
上海,73.1,74.1,73,75,
广东,72.4,74 ,75,74,
福建,69.6,69.7,69,69,
天津,63,64.6,65,67,
浙江,65.3,65.6,65,65,
辽宁,62.2,62.6,62,63,
江苏,55.5,56.6,57,58,
山东,48.9,52.9,55,57,
湖北,46.8,51.4,53,57,
山西,54.2,55.5,56,56,
吉林,47.7,50.9,52,55,
重庆,48.3,51.6,53,55,
陕西,50,52.4,53,55,
新疆,54.9,54.9,55,55,
河北,50.5,53.3,54,54,
青海,54.5,54.5,54,54,
内蒙古,50.3,52.2,52,52,
黑龙江,44.5,48.1,49,52,
宁夏,49.3,50.7,51,52,
江西,38.7,44.6,47,51,
海南,51.6,51.6,51,51,
安徽,39.4,44.3,47,50,
湖南,39.9,44.4,46,50,
广西,42.8,46.1,48,50,
贵州,38.4,43.2,45,49,
河南,39.2,43.4,45,48,
四川,40,43.6,45,48,
西藏,44.6,46.1,42,47,
甘肃,38.8,42.4,44,46,
云南,37.4,39.9,41,43,
