省份/直辖市,省份/直辖市GDP总量（2019年前三季度）亿元,城市（省份前三）,2019年前三季度GDP（亿元）,名义增速
广东,77191,深圳市,18689.13,6.61%
广东,77191,广州市,17868.99,6.95%
广东,77191,佛山市,7931.79,8.90%
江苏,72200,苏州市,14000.27,5.43%
江苏,72200,南京市,10267.12,8.55%
江苏,72200,无锡市,8753.1,6.93%
山东,62309,青岛市,9768.93,7.52%
山东,62309,济南市,7189,8.71%
山东,62309,烟台市,6163.38,5.21%
浙江,43199,杭州市,10511.36,6.70%
浙江,43199,宁波市,8170.52,6.50%
浙江,43199,温州市,4648.83,8.20%
河南,39056,郑州市,8050.73,9.52%
河南,39056,洛阳市,3709.4,10.17%
河南,39056,南阳市,3002.23,9.50%
四川,33893,成都市,12047.26,11.52%
四川,33893,绵阳市,1873.47,11.09%
四川,33893,德阳市,1790.3,9.44%
湖北,30509,武汉市,11528.39,8.97%
湖北,30509,襄阳市,3187.07,6.30%
湖北,30509,宜昌市,3140.24,7.12%
湖南,27981,长沙市,8713.68,10.22%
湖南,27981,岳阳市,2510.35,9.99%
湖南,27981,常德市,2419.5,9.53%
河北,26815,唐山市,5201.1,7.57%
河北,26815,石家庄市,4661.3,-3.30%
河北,26815,沧州市,2747.2,1.37%
福建,25595,泉州市,6226.13,9.52%
福建,25595,福州市,5354.7,10.20%
福建,25595,厦门市,3592.71,8.94%
上海,25361,上海市,25361,7.21%
安徽,23783,合肥市,5912.32,9.73%
安徽,23783,芜湖市,2610.46,9.22%
安徽,23783,安庆市,1530.5,9.14%
北京,23130,北京市,23130,7.50%
辽宁,19148,大连市,5740.6,4.85%
辽宁,19148,沈阳市,4721.7,6.73%
辽宁,19148,鞍山市,1330.3,9.16%
陕西,18320,西安市,6372.92,6.70%
陕西,18320,榆林市,3042.04,5.80%
陕西,18320,咸阳市,1538.96,1.80%
江西,17176,南昌市,4186.37,12.60%
江西,17176,赣州市,2159.94,10.80%
江西,17176,九江市,2106.64,12.10%
重庆,16074,重庆市,16074,8.80%
天津,15256,天津市,15256,4.08%
内蒙古,13266,鄂尔多斯,3010.3,7.15%
内蒙古,13266,包头市,,
内蒙古,13266,呼和浩特,2292.4,7.29%
广西,13240,南宁市,2635.03,6.4
广西,13240,柳州市,2005.92,
广西,13240,桂林市,1226.04,
云南,12972,昆明市,3769.42,7.49%
云南,12972,曲靖市,1522.65,7.36%
云南,12972,红河市,1206.94,10.32%
山西,12688,太原市,2945.34,9.91%
山西,12688,长治市,1236.3,8.00%
山西,12688,运城市,1156.2,8.37%
贵州,11513,贵阳市,3002.5,10.49%
贵州,11513,遵义市,2485.42,11.09%
贵州,11513,毕节市,1519.62,8.57%
黑龙江,10292,哈尔滨市,4490.9,6.73%
黑龙江,10292,大庆市,,
黑龙江,10292,牡丹江市,,
吉林,10045,长春市,4657.2,0.07%
吉林,10045,吉林市,,
吉林,10045,松原市,,
新疆,9127,巴音郭勒州,724.92,2.93%
新疆,9127,乌鲁木齐市,2317.13,5.41%
新疆,9127,昌吉市,954.1,4.88%
甘肃,6426,兰州市,,
甘肃,6426,庆阳市,546.51,4.68%
甘肃,6426,天水市,,
海南,3866,海口市,1261.08,6.90%
海南,3866,三亚市,480.7,5.60%
海南,3866,儋州市,250.61,7.40%
宁夏,2997,银川市,1534.95,6.30%
宁夏,2997,石嘴山市,438.12,7.54%
宁夏,2997,吴忠市,434.3,8.35%
青海,2046,西宁市,995.32,4.98%
青海,2046,海西州,,
青海,2046,海东市,,
西藏,1156,拉萨市,,
西藏,1156,日喀则市,,
西藏,1156,昌都市,,
