企业名称,经营状态,法定代表人,注册资本,成立日期,所属省份,所属城市,电话,更多电话,邮箱,统一社会信用代码,纳税人识别号,注册号,组织机构代码,参保人數,企业类型,所属行业,网址,企业地址,经营范围
萌萌码（重庆）教育科技有限公司,存续,罗啸,100万元人民币,2018/1/5,重庆,,17388295244,,17388295244@qq.com,91500107MA5YQ61525,91500107MA5YQ61525,5.00E+14,MA5YQ615-2,2,有限责任公司,,,重庆市九龙坡区杨家坪珠江路48号1幢20-2#,计算机编程咨询;教育科技产品的开发与销售;计算机软硬件的技术开发、技术咨询、技术转让;计算机技术咨询;网络工程技术开发、技术服务。**[]
北京童天下教育科技有限公司,在业,郑奎,60.9756万元人民币,2018/3/12,北京,,15811082328,,freemanzk@163.com,91110108MA01AP246J,91110108MA01AP246J,1.10E+14,MA01AP24-6,1,有限责任公司(自然人投资或控股),科技推广和应用服务业,www.daerhou.cn,北京市海淀区上地信息路1号(北京实创高科技发展总公司1-1号)A栋6层6464号,"技术开发、技术推广、技术转让、技术咨询、技术服务;销售自行开发的产品;计算机系统服务;基础软件服务;应用软件服务;软件咨询;教育咨询);文艺创作;工艺美术设计;产品设计;模型设计;包装装潢设计;经济贸易咨询;文化咨询;体育咨询;公共关系服务;电脑动画设计;企业策划;设计、制作、代理、发布广告;市场调查;企业管理咨询;组织文化艺术交流活动;承办展览展示活动;影视策划;翻译服务。(企业依法自主选择经营项目,开展经营活动;;。)"
天津五格教育科技有限责任公司,存续,张宇光,100万元人民币,2017/4/1,天津,,13820990621,13920380657；,,91120103MA05PFHB73,91120103MA05PFHB73,1.20E+14,MA05PFHB-7,4,有限责任公司,科技推广和应用服务业,www.wugedianxia.com,天津市河西区徽州道29号(北方创客体验中心B座)2044,教育软件技术开发、技术咨询、技术转让及技术服务;教育信息咨询;企业管理咨询;组织文化艺术交流活动;文化艺术交流活动策划;电子产品、办品用品批发兼零售。
云南北岭科技有限公司,存续,杨康,100万元人民币,2018/4/24,云南,昆明市,13529201202,,614495077@qq.com,91530102MA6N46WHX9,91530102MA6N46WHX9,,MA6N46WH-X,0,有限责任公司(自然人投资或控股),零售业,www.edukings.cn,云南省昆明市五华区红云街道国福现代城荷花苑1栋1506室,计算机软硬件的开发及应用;信息系统集成服务;承办会议及商品的展览展示活动;组织文化艺术交流活动;企业管理信息咨询;商务信息咨询;国内贸易、物资供销。
镇安猫爪信息技术有限公司,在业,王林久,10万元人民币,2015/12/4,陕西,商洛市,13720655098,,support@kidscode.cn,91611025MA70T0NQ7N,91611025MA70T0NQ7N,6.13E+14,MA70T0NQ-7,0,有限责任公司(自然人独资),软件和信息技术服务业,,陕西省商洛市镇安县永乐街道办新城社区岭南路113号3层,计算机软件开发、销售;网站、网页设计、制作;数据统计分析;信息系统集成服务及维护;信息技术咨询服务;互联网广告设计、制作、发布;网络安全防护服务;计算机硬件及耗材销售;编程技术服务;互联网销售农副产品**
成都莘迪教育科技有限公司,存续,李龙,50万元人民币,2018/9/4,四川,成都市,13540103871,,,91510100MA68DEC6X9,91510100MA68DEC6X9,,MA68DEC6-X,0,有限责任公司(自然人投资或控股),教育,http://www.sendrobot.cn,成都高新区益州大道北段388号8栋24楼2413号,教育软件技术、计算机软硬件、教学设备、软件、玩具、电子产品、机械设备、电子配件、数码产品、智能机器人技术的研发、销售;教育咨询;企业管理咨询;组织策划文化艺术交流活动;网络技术开发;会议及展览服务;大型活动组织服务;网上贸易代理;市场营销策划;儿童乐园服务。。
衢州喵博教育科技有限公司,存续,叶飞洪,10万元人民币,2016/8/15,浙江,衢州市,,,,91330800MA28F6KR43,91330800MA28F6KR43,3.31E+14,MA28F6KR-4,0,有限责任公司(自然人独资),,www.miaobostem.com,浙江省衢州市柯城区白云南大道181号,从事教育科技、计算机科技领域内的技术开发、技术服务、技术咨询、技术转让;教育软件开发;教育信息咨询;网页设计;教学设备销售;组织策划文化艺术交流活动。
河南矩特科技有限公司,存续,吕彤辉,1000万元人民币,2017/9/27,河南,郑州市,13027736213,18538323161；,jute520@163.com,91410103MA44EX776Q,91410103MA44EX776Q,4.10E+14,MA44EX77-6,0,有限责任公司(自然人投资或控股),科技推广和应用服务业,www.qiaodongweilai.com,郑州市郑东新区文苑西路15号郑州航院东校区郑航众创空间4层401号,电气、电子产品、计算机软硬件、办公设备、通讯产品、通信产品的技术开发及销售;计算机技术咨询、其他计算机系统服务;销售:摄录设备、计算机及辅助设备、通讯器材、办公用品、教学设备、五金交电、体育器材、灯光音响设备、办公家具、UPS电源、空气净化设备、环保设备、机械设备、家用电器、电气设备;UPS电源的维修。
北京编码未来教育科技有限公司,在业,汪阳青,51.6304万元人民币,2017/8/9,北京,,15210987898,,1917593622@qq.com,91110108MA00GYKT1Q,91110108MA00GYKT1Q,1.10E+14,MA00GYKT-1,10,有限责任公司(自然人投资或控股),科技推广和应用服务业,www.joyskid.cn,"北京市海淀区上地信息路1号(北京实创高科技发展总公司1-1,1-2号)1-1幢5层A栋5层306号","技术开发、技术推广、技术转让、技术咨询、技术服务;销售自行开发的产品;计算机系统服务;基础软件服务;应用软件服务;软件开发;软件咨询;产品设计;模型设计;包装装潢设计;教育咨询);经济贸易咨询;文化咨询;体育咨询;公共关系服务;会议服务;工艺美术设计;电脑动画设计;企业策划、设计;设计、制作、代理、发布广告;市场调查;企业管理咨询;组织文化艺术交流活动;文艺创作;承办展览展示活动;影视策划;翻译服务;自然科学研究与试验发展;工程和技术研究与试验发展;农业科研究与试验发展;医学研究与试验发展;数据处理(数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外);接受金融机构委托从事金融信息技术外包服务;接受金融机构委托从事金融业务流程外包服务;接受金融机构委托从事金融知识流程外包服务。(企业依法自主选择经营项目,开展经营活动;;。)"
上海巴查网络科技有限公司,存续,黎庆林,10万元人民币,2015/6/29,上海,,021-61994498,13564404908；,275738716@qq.com,9.13E+17,9.13E+17,3.10E+14,34209803-6,1,有限责任公司(自然人投资或控股),科技推广和应用服务业,www.pencode.net,上海市闵行区东川路555号戊楼1205室,"从事网络科技、软件科技、教育科技领域内的技术开发、技术转让、技术咨询、技术服务,设计、制作各类广告、利用自有媒体发布广告,计算机、软件及辅助设备、数码产品、电子产品、通讯设备的销售,图文设计制作,创意服务,展览展示服务,舞台设计,企业营销策划、企业形象策划、公关活动组织策划、体育赛事策划,票务代理,会务服务,礼仪服务,投资咨询、企业管理咨询、商务信息咨询(咨询类项目除经纪),人才中介,从事货物及技术的进出口业务。"
深圳市未来少儿编程教育创新院,存续,唐夏青,10万元人民币,2017/4/26,广东,深圳市,0755-33228862,18665398976；,hi@shaoerbc.org,91440300MA5EGNCT2L,91440300MA5EGNCT2L,4.40E+14,MA5EGNCT-2,0,个人独资企业,互联网和相关服务,http://www.shaoerbc.org/,深圳市宝安区石岩街道浪心社区宝石南路188号407,计算机软硬件产品的技术开发、技术转让、技术咨询;计算机编程咨询;教育咨询;计算机软件系统集成;经营电子商务;^
江苏西游少儿编程培训有限公司,存续,赵剑,1000万元人民币,2019/6/17,江苏,南京市,,,,91320191MA1YK1FR8P,91320191MA1YK1FR8P,,MA1YK1FR-8,0,有限责任公司(自然人独资),教育,,南京市江北新区大桥北路37号金都汇广场297号商铺,面向中小学生开展的艺术培训、体育培训、科技培训;文化艺术交流活动组织及策划;文体用品、通信产品、电子产品及配件销售;科技中介服务;出版物销售(须取得许可或批准后方可经营)。
白城市贝优乐少儿编程有限公司,存续,王荣搏,10万元人民币,2019/3/21,吉林,白城市,,,,91220881MA172A4Y7B,91220881MA172A4Y7B,,MA172A4Y-7,0,有限责任公司(自然人独资),居民服务业,,吉林省白城市洮南市吉林省洮南市团结东路155号(住邦万晟广场1号楼)5层1门,室内手工制作娱乐服务;室内娱乐服务;儿童室内游戏娱乐服务。
丽水市符号少儿编程培训有限公司,存续,肖梦杰,10万元人民币,2019/1/17,浙江,丽水市,,,,91331102MA2E0R5B9E,91331102MA2E0R5B9E,,MA2E0R5B-9,0,有限责任公司(自然人独资),教育,,浙江省丽水市莲都区大洋路126号二层,开展少儿编程、积木搭建培训)。
